INFO 2025-09-11 20:06:52,858 basehttp 24920 6328 "GET / HTTP/1.1" 200 2718
INFO 2025-09-11 20:18:38,484 autoreload 29992 29524 Watching for file changes with StatReloader
INFO 2025-09-11 20:18:41,393 basehttp 29992 6684 "GET / HTTP/1.1" 200 2718
INFO 2025-09-11 20:18:41,924 basehttp 29992 6684 "GET / HTTP/1.1" 200 2718
INFO 2025-09-11 20:18:42,174 basehttp 29992 6684 "GET / HTTP/1.1" 200 2718
INFO 2025-09-11 20:18:42,321 basehttp 29992 6684 "GET / HTTP/1.1" 200 2718
INFO 2025-09-11 20:19:02,434 autoreload 30000 24288 Watching for file changes with StatReloader
INFO 2025-09-11 20:19:04,340 basehttp 30000 18620 "GET /admin/ HTTP/1.1" 200 6706
INFO 2025-09-11 20:19:04,349 basehttp 30000 18620 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,351 basehttp 30000 18620 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,351 basehttp 30000 30388 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,352 basehttp 30000 7380 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,352 basehttp 30000 7004 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,353 basehttp 30000 7004 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,353 basehttp 30000 7380 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,355 basehttp 30000 7380 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:19:04,355 basehttp 30000 7004 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:19:05,651 basehttp 30000 7004 "GET /admin/ HTTP/1.1" 200 6706
INFO 2025-09-11 20:19:17,434 basehttp 30000 7004 "GET /admin/auth/group/ HTTP/1.1" 200 8125
INFO 2025-09-11 20:19:17,444 basehttp 30000 7004 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,448 basehttp 30000 18620 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,448 basehttp 30000 30388 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,449 basehttp 30000 7380 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,449 basehttp 30000 26972 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,449 basehttp 30000 28080 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,450 basehttp 30000 30388 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,450 basehttp 30000 18620 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,450 basehttp 30000 28080 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,451 basehttp 30000 7004 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:17,451 basehttp 30000 28080 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,551 basehttp 30000 28080 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:17,551 basehttp 30000 7004 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:19:23,011 basehttp 30000 7004 "GET /admin/auth/user/ HTTP/1.1" 200 11330
INFO 2025-09-11 20:19:23,019 basehttp 30000 28080 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:19:23,019 basehttp 30000 7004 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:23,028 basehttp 30000 7004 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:19:25,505 basehttp 30000 7004 "GET /admin/auth/group/ HTTP/1.1" 200 8125
INFO 2025-09-11 20:19:25,512 basehttp 30000 7004 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:29,172 basehttp 30000 7004 "GET /admin/lca_core/lcacalculation/ HTTP/1.1" 200 9088
INFO 2025-09-11 20:19:29,179 basehttp 30000 7004 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:31,276 basehttp 30000 7004 "GET /admin/lca_core/lcacalculation/add/ HTTP/1.1" 200 13243
INFO 2025-09-11 20:19:31,283 basehttp 30000 7004 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:31,283 basehttp 30000 18620 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:19:31,283 basehttp 30000 30388 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:31,285 basehttp 30000 28080 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:31,286 basehttp 30000 30388 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-09-11 20:19:31,287 basehttp 30000 30388 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-09-11 20:19:33,290 basehttp 30000 30388 "GET /admin/lca_core/lcaproject/add/ HTTP/1.1" 200 12634
INFO 2025-09-11 20:19:33,297 basehttp 30000 30388 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:36,609 basehttp 30000 30388 "GET /admin/lca_core/lcacalculation/add/ HTTP/1.1" 200 13243
INFO 2025-09-11 20:19:36,616 basehttp 30000 30388 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:49,249 basehttp 30000 30388 "GET /admin/lca_core/lcaproject/add/ HTTP/1.1" 200 12634
INFO 2025-09-11 20:19:49,256 basehttp 30000 30388 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:19:50,381 basehttp 30000 30388 "GET /admin/lca_core/lcacalculation/add/ HTTP/1.1" 200 13243
INFO 2025-09-11 20:19:50,388 basehttp 30000 30388 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:22:14,628 autoreload 30000 24288 C:\Users\raxtr\Documents\Programming\SIH Hackathon 2025\LCA Analysis\LCA-Analysis-Tool\lca_core\home_views.py changed, reloading.
INFO 2025-09-11 20:22:14,953 autoreload 28000 28976 Watching for file changes with StatReloader
INFO 2025-09-11 20:25:36,598 autoreload 18940 29960 Watching for file changes with StatReloader
INFO 2025-09-11 20:25:48,370 autoreload 29416 27448 Watching for file changes with StatReloader
INFO 2025-09-11 20:26:16,047 autoreload 29416 27448 C:\Users\raxtr\Documents\Programming\SIH Hackathon 2025\LCA Analysis\LCA-Analysis-Tool\lca_core\home_views.py changed, reloading.
INFO 2025-09-11 20:26:16,345 autoreload 28956 29756 Watching for file changes with StatReloader
INFO 2025-09-11 20:26:16,493 autoreload 18940 29960 C:\Users\raxtr\Documents\Programming\SIH Hackathon 2025\LCA Analysis\LCA-Analysis-Tool\lca_core\home_views.py changed, reloading.
INFO 2025-09-11 20:26:16,761 autoreload 28340 14968 Watching for file changes with StatReloader
INFO 2025-09-11 20:26:32,323 basehttp 28956 29908 "GET / HTTP/1.1" 200 20041
INFO 2025-09-11 20:26:56,992 basehttp 28956 29908 "GET /admin/ HTTP/1.1" 200 6706
INFO 2025-09-11 20:26:57,000 basehttp 28956 29908 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,002 basehttp 28956 29908 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,002 basehttp 28956 3332 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,007 basehttp 28956 17948 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,009 basehttp 28956 29392 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,009 basehttp 28956 14644 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,010 basehttp 28956 27196 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,013 basehttp 28956 27196 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:26:57,013 basehttp 28956 14644 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,977 basehttp 28956 14644 "GET /api/projects/ HTTP/1.1" 200 9827
INFO 2025-09-11 20:27:12,985 basehttp 28956 14644 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,987 basehttp 28956 27196 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,990 basehttp 28956 27196 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,990 basehttp 28956 3332 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,991 basehttp 28956 29908 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,991 basehttp 28956 17948 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,991 basehttp 28956 14644 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,991 basehttp 28956 29392 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,992 basehttp 28956 27196 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-09-11 20:27:12,992 basehttp 28956 3332 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-09-11 20:27:13,003 basehttp 28956 3332 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2025-09-11 20:27:18,034 basehttp 28956 3332 "GET /api/ HTTP/1.1" 200 5737
INFO 2025-09-11 20:27:21,472 basehttp 28956 3332 "GET /api/projects/ HTTP/1.1" 200 9827
